Disparity of Point  9482 =  (1063, 127) = 28
Disparity of Point  27958 =  (231, 301) = 41
Disparity of Point  27959 =  (231, 301) = 41
Disparity of Point  27963 =  (242, 301) = 41
Disparity of Point  27964 =  (242, 301) = 41
Disparity of Point  27996 =  (351, 301) = 41
Disparity of Point  27999 =  (376, 301) = 41
Disparity of Point  28000 =  (376, 301) = 41
Disparity of Point  28001 =  (377, 301) = 41
Disparity of Point  28002 =  (377, 301) = 41
Disparity of Point  28003 =  (378, 301) = 41
Disparity of Point  28004 =  (378, 301) = 41
Disparity of Point  28005 =  (379, 301) = 41
Disparity of Point  28006 =  (379, 301) = 41
Disparity of Point  28011 =  (437, 301) = 41
Disparity of Point  28018 =  (495, 301) = 41
Disparity of Point  28020 =  (516, 301) = 41
Disparity of Point  28021 =  (516, 301) = 41
Disparity of Point  28032 =  (625, 301) = 41
Disparity of Point  28033 =  (625, 301) = 41
Disparity of Point  28034 =  (631, 301) = 41
Disparity of Point  28035 =  (631, 301) = 41
Disparity of Point  28046 =  (726, 301) = 41
Disparity of Point  28047 =  (726, 301) = 41
Disparity of Point  28056 =  (794, 301) = 43
Disparity of Point  28057 =  (794, 301) = 43
Disparity of Point  28058 =  (810, 301) = 43
Disparity of Point  28059 =  (810, 301) = 43
Disparity of Point  28060 =  (812, 301) = 43
Disparity of Point  28061 =  (812, 301) = 43
Disparity of Point  28064 =  (830, 301) = 43
Disparity of Point  28065 =  (830, 301) = 43
Disparity of Point  28066 =  (834, 301) = 43
Disparity of Point  28067 =  (847, 301) = 43
Disparity of Point  28068 =  (847, 301) = 43
Disparity of Point  28069 =  (848, 301) = 43
Disparity of Point  28072 =  (868, 301) = 44
Disparity of Point  28073 =  (868, 301) = 44
Disparity of Point  28074 =  (897, 301) = 44
Disparity of Point  28083 =  (918, 301) = 44
Disparity of Point  28084 =  (918, 301) = 44
Disparity of Point  28091 =  (978, 301) = 45
Disparity of Point  28092 =  (978, 301) = 45
Disparity of Point  28093 =  (979, 301) = 45
Disparity of Point  28094 =  (979, 301) = 45
Disparity of Point  28095 =  (980, 301) = 45
Disparity of Point  28096 =  (980, 301) = 45
Disparity of Point  28099 =  (982, 301) = 45
Disparity of Point  28100 =  (982, 301) = 45
Disparity of Point  28101 =  (983, 301) = 45
Disparity of Point  28102 =  (983, 301) = 45
Disparity of Point  28129 =  (300, 302) = 41
Disparity of Point  28136 =  (363, 302) = 41
Disparity of Point  28154 =  (394, 302) = 42
Disparity of Point  28155 =  (410, 302) = 42
Disparity of Point  28156 =  (411, 302) = 42
Disparity of Point  28159 =  (417, 302) = 42
Disparity of Point  28160 =  (417, 302) = 42
Disparity of Point  28161 =  (418, 302) = 42
Disparity of Point  28168 =  (471, 302) = 42
Disparity of Point  28169 =  (471, 302) = 42
Disparity of Point  28187 =  (554, 302) = 42
Disparity of Point  28188 =  (554, 302) = 42
Disparity of Point  28200 =  (727, 302) = 42
Disparity of Point  28201 =  (727, 302) = 42
Disparity of Point  28202 =  (728, 302) = 42
Disparity of Point  28203 =  (730, 302) = 42
Disparity of Point  28204 =  (737, 302) = 42
Disparity of Point  28205 =  (737, 302) = 42
Disparity of Point  28206 =  (741, 302) = 43
Disparity of Point  28207 =  (741, 302) = 43
Disparity of Point  28208 =  (742, 302) = 43
Disparity of Point  28212 =  (776, 302) = 43
Disparity of Point  28213 =  (776, 302) = 43
Disparity of Point  28214 =  (810, 302) = 43
Disparity of Point  28215 =  (811, 302) = 43
Disparity of Point  28216 =  (811, 302) = 43
Disparity of Point  28217 =  (812, 302) = 43
Disparity of Point  28218 =  (868, 302) = 44
Disparity of Point  28219 =  (868, 302) = 44
Disparity of Point  28222 =  (904, 302) = 44
Disparity of Point  28223 =  (904, 302) = 44
Disparity of Point  28226 =  (906, 302) = 44
Disparity of Point  28227 =  (906, 302) = 44
Disparity of Point  28228 =  (908, 302) = 44
Disparity of Point  28246 =  (973, 302) = 45
Disparity of Point  28247 =  (973, 302) = 45
Disparity of Point  28248 =  (974, 302) = 45
Disparity of Point  28249 =  (974, 302) = 45
Disparity of Point  28252 =  (976, 302) = 45
Disparity of Point  28255 =  (985, 302) = 46
Disparity of Point  28256 =  (985, 302) = 46
Disparity of Point  28261 =  (1099, 302) = 47
Disparity of Point  28262 =  (1099, 302) = 47
Disparity of Point  28265 =  (1101, 302) = 47
Disparity of Point  28266 =  (1101, 302) = 47
Disparity of Point  28267 =  (1102, 302) = 47
Disparity of Point  28272 =  (1105, 302) = 48
Disparity of Point  28273 =  (1105, 302) = 48
Disparity of Point  28278 =  (1108, 302) = 48
Disparity of Point  28279 =  (1108, 302) = 48
Disparity of Point  28280 =  (1109, 302) = 48
Disparity of Point  28281 =  (1109, 302) = 48
Disparity of Point  28291 =  (208, 303) = 42
Disparity of Point  28292 =  (208, 303) = 42
Disparity of Point  28319 =  (333, 303) = 42
Disparity of Point  28320 =  (333, 303) = 42
Disparity of Point  28321 =  (334, 303) = 42
Disparity of Point  28322 =  (354, 303) = 42
Disparity of Point  28323 =  (354, 303) = 42
Disparity of Point  28328 =  (362, 303) = 42
Disparity of Point  28333 =  (383, 303) = 42
Disparity of Point  28334 =  (383, 303) = 42
Disparity of Point  28337 =  (394, 303) = 42
Disparity of Point  28338 =  (394, 303) = 42
Disparity of Point  28339 =  (409, 303) = 42
Disparity of Point  28340 =  (410, 303) = 42
Disparity of Point  28342 =  (414, 303) = 42
Disparity of Point  28343 =  (414, 303) = 42
Disparity of Point  28344 =  (414, 303) = 42
Disparity of Point  28345 =  (418, 303) = 42
Disparity of Point  28346 =  (418, 303) = 42
Disparity of Point  28347 =  (419, 303) = 42
Disparity of Point  28357 =  (474, 303) = 42
Disparity of Point  28358 =  (475, 303) = 42
Disparity of Point  28359 =  (475, 303) = 42
Disparity of Point  28373 =  (559, 303) = 42
Disparity of Point  28374 =  (559, 303) = 42
Disparity of Point  28375 =  (560, 303) = 42
Disparity of Point  28376 =  (560, 303) = 42
Disparity of Point  28377 =  (561, 303) = 42
Disparity of Point  28378 =  (561, 303) = 42
Disparity of Point  28380 =  (563, 303) = 42
Disparity of Point  28381 =  (565, 303) = 42
Disparity of Point  28382 =  (565, 303) = 42
Disparity of Point  28397 =  (703, 303) = 42
Disparity of Point  28398 =  (703, 303) = 42
Disparity of Point  28399 =  (728, 303) = 42
Disparity of Point  28400 =  (728, 303) = 42
Disparity of Point  28401 =  (738, 303) = 42
Disparity of Point  28402 =  (738, 303) = 42
Disparity of Point  28405 =  (757, 303) = 43
Disparity of Point  28406 =  (757, 303) = 43
Disparity of Point  28407 =  (758, 303) = 43
Disparity of Point  28408 =  (798, 303) = 44
Disparity of Point  28409 =  (798, 303) = 44
Disparity of Point  28410 =  (829, 303) = 44
Disparity of Point  28411 =  (829, 303) = 44
Disparity of Point  28412 =  (835, 303) = 44
Disparity of Point  28413 =  (835, 303) = 44
Disparity of Point  28414 =  (835, 303) = 44
Disparity of Point  28415 =  (836, 303) = 44
Disparity of Point  28416 =  (836, 303) = 44
Disparity of Point  28417 =  (836, 303) = 44
Disparity of Point  28422 =  (869, 303) = 44
Disparity of Point  28423 =  (869, 303) = 44
Disparity of Point  28424 =  (869, 303) = 44
Disparity of Point  28425 =  (871, 303) = 44
Disparity of Point  28426 =  (871, 303) = 44
Disparity of Point  28442 =  (920, 303) = 45
Disparity of Point  28443 =  (920, 303) = 45
Disparity of Point  28444 =  (931, 303) = 45
Disparity of Point  28445 =  (931, 303) = 45
Disparity of Point  28456 =  (986, 303) = 46
Disparity of Point  28457 =  (986, 303) = 46
Disparity of Point  28498 =  (275, 304) = 42
Disparity of Point  28527 =  (384, 304) = 42
Disparity of Point  28528 =  (384, 304) = 42
Disparity of Point  28530 =  (388, 304) = 42
Disparity of Point  28531 =  (388, 304) = 42
Disparity of Point  28532 =  (391, 304) = 42
Disparity of Point  28533 =  (391, 304) = 42
Disparity of Point  28534 =  (391, 304) = 42
Disparity of Point  28540 =  (409, 304) = 42
Disparity of Point  28541 =  (417, 304) = 42
Disparity of Point  28542 =  (417, 304) = 42
Disparity of Point  28543 =  (417, 304) = 42
Disparity of Point  28554 =  (470, 304) = 42
Disparity of Point  28555 =  (470, 304) = 42
Disparity of Point  28556 =  (474, 304) = 42
Disparity of Point  28557 =  (474, 304) = 42
Disparity of Point  28560 =  (493, 304) = 42
Disparity of Point  28561 =  (493, 304) = 42
Disparity of Point  28569 =  (529, 304) = 42
Disparity of Point  28570 =  (529, 304) = 42
Disparity of Point  28571 =  (536, 304) = 42
Disparity of Point  28572 =  (536, 304) = 42
Disparity of Point  28589 =  (837, 304) = 44
Disparity of Point  28590 =  (837, 304) = 44
Disparity of Point  28591 =  (846, 304) = 44
Disparity of Point  28592 =  (846, 304) = 44
Disparity of Point  28593 =  (847, 304) = 44
Disparity of Point  28594 =  (847, 304) = 44
Disparity of Point  28595 =  (852, 304) = 44
Disparity of Point  28596 =  (852, 304) = 44
Disparity of Point  28601 =  (924, 304) = 45
Disparity of Point  28602 =  (924, 304) = 45
Disparity of Point  28603 =  (925, 304) = 45
Disparity of Point  28604 =  (925, 304) = 45
Disparity of Point  28605 =  (926, 304) = 45
Disparity of Point  28606 =  (926, 304) = 45
Disparity of Point  28609 =  (928, 304) = 45
Disparity of Point  28610 =  (928, 304) = 45
Disparity of Point  28611 =  (929, 304) = 45
Disparity of Point  28612 =  (933, 304) = 45
Disparity of Point  28618 =  (981, 304) = 46
Disparity of Point  28619 =  (988, 304) = 46
Disparity of Point  28620 =  (988, 304) = 46
Disparity of Point  28635 =  (998, 304) = 46
Disparity of Point  28636 =  (998, 304) = 46
Disparity of Point  28637 =  (1000, 304) = 47
Disparity of Point  28638 =  (1000, 304) = 47
Disparity of Point  28639 =  (1098, 304) = 48
Disparity of Point  28640 =  (1098, 304) = 48
Disparity of Point  28645 =  (1101, 304) = 48
Disparity of Point  28646 =  (1101, 304) = 48
Disparity of Point  28650 =  (1104, 304) = 48
Disparity of Point  28651 =  (1104, 304) = 48
Disparity of Point  28664 =  (252, 305) = 42
Disparity of Point  28665 =  (252, 305) = 42
Disparity of Point  28668 =  (273, 305) = 42
Disparity of Point  28679 =  (336, 305) = 42
Disparity of Point  28680 =  (336, 305) = 42
Disparity of Point  28681 =  (339, 305) = 42
Disparity of Point  28690 =  (362, 305) = 43
Disparity of Point  28691 =  (363, 305) = 43
Disparity of Point  28692 =  (363, 305) = 43
Disparity of Point  28694 =  (384, 305) = 43
Disparity of Point  28705 =  (440, 305) = 43
Disparity of Point  28706 =  (440, 305) = 43
Disparity of Point  28707 =  (441, 305) = 43
Disparity of Point  28708 =  (441, 305) = 43
Disparity of Point  28709 =  (442, 305) = 43
Disparity of Point  28710 =  (442, 305) = 43
Disparity of Point  28713 =  (474, 305) = 43
Disparity of Point  28714 =  (474, 305) = 43
Disparity of Point  28743 =  (671, 305) = 43
Disparity of Point  28748 =  (690, 305) = 43
Disparity of Point  28749 =  (730, 305) = 43
Disparity of Point  28750 =  (730, 305) = 43
Disparity of Point  28751 =  (731, 305) = 43
Disparity of Point  28755 =  (749, 305) = 44
Disparity of Point  28756 =  (749, 305) = 44
Disparity of Point  28757 =  (794, 305) = 44
Disparity of Point  28758 =  (794, 305) = 44
Disparity of Point  28759 =  (799, 305) = 44
Disparity of Point  28760 =  (799, 305) = 44
Disparity of Point  28762 =  (844, 305) = 45
Disparity of Point  28769 =  (880, 305) = 45
Disparity of Point  28770 =  (880, 305) = 45
Disparity of Point  28792 =  (981, 305) = 46
Disparity of Point  28795 =  (984, 305) = 46
Disparity of Point  28796 =  (984, 305) = 46
Disparity of Point  28797 =  (985, 305) = 46
Disparity of Point  28798 =  (1001, 305) = 47
Disparity of Point  28799 =  (1001, 305) = 47
Disparity of Point  28800 =  (1002, 305) = 47
Disparity of Point  28804 =  (1106, 305) = 48
Disparity of Point  28805 =  (1106, 305) = 48
Disparity of Point  28810 =  (1109, 305) = 48
Disparity of Point  28811 =  (1109, 305) = 48
Disparity of Point  28819 =  (228, 306) = 43
Disparity of Point  28820 =  (228, 306) = 43
Disparity of Point  28827 =  (237, 306) = 42
Disparity of Point  28828 =  (237, 306) = 42
Disparity of Point  28831 =  (239, 306) = 42
Disparity of Point  28832 =  (247, 306) = 42
Disparity of Point  28833 =  (247, 306) = 42
Disparity of Point  28834 =  (248, 306) = 42
Disparity of Point  28837 =  (255, 306) = 42
Disparity of Point  28842 =  (319, 306) = 43
Disparity of Point  28843 =  (319, 306) = 43
Disparity of Point  28861 =  (425, 306) = 43
Disparity of Point  28862 =  (425, 306) = 43
Disparity of Point  28866 =  (472, 306) = 43
Disparity of Point  28867 =  (472, 306) = 43
Disparity of Point  28868 =  (473, 306) = 43
Disparity of Point  28869 =  (482, 306) = 43
Disparity of Point  28883 =  (582, 306) = 43
Disparity of Point  28884 =  (582, 306) = 43
Disparity of Point  28889 =  (585, 306) = 43
Disparity of Point  28890 =  (585, 306) = 43
Disparity of Point  28891 =  (586, 306) = 43
Disparity of Point  28896 =  (652, 306) = 43
Disparity of Point  28899 =  (679, 306) = 43
Disparity of Point  28907 =  (745, 306) = 44
Disparity of Point  28908 =  (746, 306) = 44
Disparity of Point  28917 =  (868, 306) = 45
Disparity of Point  28918 =  (869, 306) = 45
Disparity of Point  28919 =  (869, 306) = 45
Disparity of Point  28938 =  (918, 306) = 46
Disparity of Point  28939 =  (918, 306) = 46
Disparity of Point  28940 =  (919, 306) = 46
Disparity of Point  28941 =  (919, 306) = 46
Disparity of Point  28969 =  (1119, 306) = 49
Disparity of Point  28970 =  (1119, 306) = 49
Disparity of Point  28986 =  (226, 307) = 43
Disparity of Point  28987 =  (226, 307) = 43
Disparity of Point  29010 =  (345, 307) = 43
Disparity of Point  29013 =  (354, 307) = 43
Disparity of Point  29018 =  (384, 307) = 43
Disparity of Point  29032 =  (466, 307) = 43
Disparity of Point  29035 =  (472, 307) = 43
Disparity of Point  29047 =  (615, 307) = 44
Disparity of Point  29056 =  (748, 307) = 44
Disparity of Point  29061 =  (795, 307) = 45
Disparity of Point  29062 =  (796, 307) = 45
Disparity of Point  29063 =  (796, 307) = 45
Disparity of Point  29064 =  (797, 307) = 45
Disparity of Point  29065 =  (797, 307) = 45
Disparity of Point  29066 =  (800, 307) = 45
Disparity of Point  29067 =  (800, 307) = 45
Disparity of Point  29068 =  (801, 307) = 45
Disparity of Point  29069 =  (801, 307) = 45
Disparity of Point  29070 =  (804, 307) = 45
Disparity of Point  29071 =  (804, 307) = 45
Disparity of Point  29072 =  (807, 307) = 45
Disparity of Point  29073 =  (808, 307) = 45
Disparity of Point  29074 =  (808, 307) = 45
Disparity of Point  29075 =  (810, 307) = 45
Disparity of Point  29076 =  (810, 307) = 45
Disparity of Point  29077 =  (812, 307) = 45
Disparity of Point  29078 =  (828, 307) = 45
Disparity of Point  29079 =  (841, 307) = 45
Disparity of Point  29080 =  (842, 307) = 45
Disparity of Point  29081 =  (842, 307) = 45
Disparity of Point  29082 =  (843, 307) = 45
Disparity of Point  29083 =  (843, 307) = 45
Disparity of Point  29086 =  (850, 307) = 45
Disparity of Point  29102 =  (888, 307) = 46
Disparity of Point  29103 =  (888, 307) = 46
Disparity of Point  29112 =  (911, 307) = 46
Disparity of Point  29113 =  (911, 307) = 46
Disparity of Point  29114 =  (914, 307) = 46
Disparity of Point  29115 =  (933, 307) = 46
Disparity of Point  29116 =  (934, 307) = 46
Disparity of Point  29117 =  (934, 307) = 46
Disparity of Point  29118 =  (935, 307) = 46
Disparity of Point  29119 =  (935, 307) = 46
Disparity of Point  29121 =  (964, 307) = 47
Disparity of Point  29122 =  (964, 307) = 47
Disparity of Point  29125 =  (989, 307) = 47
Disparity of Point  29126 =  (989, 307) = 47
Disparity of Point  29147 =  (256, 308) = 43
Disparity of Point  29148 =  (256, 308) = 43
Disparity of Point  29150 =  (283, 308) = 43
Disparity of Point  29151 =  (299, 308) = 43
Disparity of Point  29152 =  (299, 308) = 43
Disparity of Point  29153 =  (318, 308) = 43
Disparity of Point  29154 =  (318, 308) = 43
Disparity of Point  29155 =  (319, 308) = 43
Disparity of Point  29169 =  (360, 308) = 44
Disparity of Point  29187 =  (479, 308) = 44
Disparity of Point  29208 =  (676, 308) = 44
Disparity of Point  29209 =  (676, 308) = 44
Disparity of Point  29210 =  (679, 308) = 44
Disparity of Point  29213 =  (744, 308) = 44
Disparity of Point  29214 =  (744, 308) = 44
Disparity of Point  29217 =  (752, 308) = 45
Disparity of Point  29220 =  (764, 308) = 45
Disparity of Point  29221 =  (764, 308) = 45
Disparity of Point  29223 =  (783, 308) = 45
Disparity of Point  29224 =  (784, 308) = 45
Disparity of Point  29225 =  (785, 308) = 45
Disparity of Point  29226 =  (785, 308) = 45
Disparity of Point  29227 =  (789, 308) = 45
Disparity of Point  29228 =  (791, 308) = 45
Disparity of Point  29231 =  (793, 308) = 45
Disparity of Point  29233 =  (803, 308) = 45
Disparity of Point  29236 =  (812, 308) = 45
Disparity of Point  29237 =  (813, 308) = 45
Disparity of Point  29238 =  (813, 308) = 45
Disparity of Point  29239 =  (814, 308) = 45
Disparity of Point  29240 =  (829, 308) = 45
Disparity of Point  29241 =  (829, 308) = 45
Disparity of Point  29242 =  (831, 308) = 45
Disparity of Point  29243 =  (831, 308) = 45
Disparity of Point  29244 =  (832, 308) = 45
Disparity of Point  29245 =  (841, 308) = 45
Disparity of Point  29246 =  (841, 308) = 45
Disparity of Point  29250 =  (862, 308) = 46
Disparity of Point  29251 =  (862, 308) = 46
Disparity of Point  29256 =  (875, 308) = 46
Disparity of Point  29257 =  (875, 308) = 46
Disparity of Point  29258 =  (876, 308) = 46
Disparity of Point  29259 =  (876, 308) = 46
Disparity of Point  29268 =  (911, 308) = 46
Disparity of Point  29273 =  (915, 308) = 46
Disparity of Point  29274 =  (915, 308) = 46
Disparity of Point  29293 =  (995, 308) = 48
Disparity of Point  29294 =  (995, 308) = 48
Disparity of Point  29295 =  (1003, 308) = 48
Disparity of Point  29296 =  (1003, 308) = 48
Disparity of Point  29297 =  (1004, 308) = 48
Disparity of Point  29298 =  (1004, 308) = 48
Disparity of Point  29318 =  (301, 309) = 44
Disparity of Point  29319 =  (301, 309) = 44
Disparity of Point  29325 =  (322, 309) = 44
Disparity of Point  29326 =  (329, 309) = 44
Disparity of Point  29327 =  (330, 309) = 44
Disparity of Point  29334 =  (358, 309) = 44
Disparity of Point  29337 =  (395, 309) = 44
Disparity of Point  29338 =  (395, 309) = 44
Disparity of Point  29341 =  (397, 309) = 44
Disparity of Point  29342 =  (397, 309) = 44
Disparity of Point  29358 =  (512, 309) = 44
Disparity of Point  29359 =  (512, 309) = 44
Disparity of Point  29367 =  (676, 309) = 44
Disparity of Point  29368 =  (676, 309) = 44
Disparity of Point  29369 =  (678, 309) = 44
Disparity of Point  29370 =  (678, 309) = 44
Disparity of Point  29371 =  (715, 309) = 44
Disparity of Point  29372 =  (715, 309) = 44
Disparity of Point  29375 =  (734, 309) = 44
Disparity of Point  29385 =  (804, 309) = 46
Disparity of Point  29386 =  (804, 309) = 46
Disparity of Point  29390 =  (854, 309) = 46
Disparity of Point  29391 =  (854, 309) = 46
Disparity of Point  29396 =  (862, 309) = 46
Disparity of Point  29397 =  (862, 309) = 46
Disparity of Point  29398 =  (878, 309) = 46
Disparity of Point  29399 =  (878, 309) = 46
Disparity of Point  29412 =  (939, 309) = 47
Disparity of Point  29413 =  (939, 309) = 47
Disparity of Point  29414 =  (940, 309) = 47
Disparity of Point  29415 =  (940, 309) = 47
Disparity of Point  29420 =  (998, 309) = 48
Disparity of Point  29421 =  (998, 309) = 48
Disparity of Point  29424 =  (1007, 309) = 48
Disparity of Point  29425 =  (1007, 309) = 48
Disparity of Point  29434 =  (218, 310) = 44
Disparity of Point  29435 =  (218, 310) = 44
Disparity of Point  29456 =  (317, 310) = 44
Disparity of Point  29457 =  (321, 310) = 44
Disparity of Point  29459 =  (327, 310) = 44
Disparity of Point  29460 =  (327, 310) = 44
Disparity of Point  29500 =  (579, 310) = 44
Disparity of Point  29501 =  (579, 310) = 44
Disparity of Point  29515 =  (631, 310) = 44
Disparity of Point  29530 =  (776, 310) = 46
Disparity of Point  29531 =  (776, 310) = 46
Disparity of Point  29538 =  (798, 310) = 46
Disparity of Point  29539 =  (798, 310) = 46
Disparity of Point  29540 =  (801, 310) = 46
Disparity of Point  29541 =  (803, 310) = 46
Disparity of Point  29542 =  (803, 310) = 46
Disparity of Point  29544 =  (805, 310) = 46
Disparity of Point  29545 =  (805, 310) = 46
Disparity of Point  29546 =  (823, 310) = 46
Disparity of Point  29547 =  (851, 310) = 46
Disparity of Point  29548 =  (851, 310) = 46
Disparity of Point  29549 =  (852, 310) = 46
Disparity of Point  29550 =  (852, 310) = 46
Disparity of Point  29551 =  (853, 310) = 46
Disparity of Point  29552 =  (853, 310) = 46
Disparity of Point  29553 =  (854, 310) = 46
Disparity of Point  29554 =  (854, 310) = 46
Disparity of Point  29555 =  (859, 310) = 46
Disparity of Point  29556 =  (859, 310) = 46
Disparity of Point  29557 =  (860, 310) = 46
Disparity of Point  29558 =  (860, 310) = 46
Disparity of Point  29559 =  (863, 310) = 46
Disparity of Point  29560 =  (867, 310) = 46
Disparity of Point  29595 =  (214, 311) = 44
Disparity of Point  29596 =  (214, 311) = 44
Disparity of Point  29608 =  (245, 311) = 44
Disparity of Point  29609 =  (245, 311) = 44
Disparity of Point  29617 =  (298, 311) = 44
Disparity of Point  29618 =  (299, 311) = 44
Disparity of Point  29619 =  (299, 311) = 44
Disparity of Point  29620 =  (314, 311) = 44
Disparity of Point  29621 =  (315, 311) = 44
Disparity of Point  29622 =  (325, 311) = 44
Disparity of Point  29623 =  (325, 311) = 44
Disparity of Point  29626 =  (328, 311) = 44
Disparity of Point  29627 =  (328, 311) = 44
Disparity of Point  29630 =  (343, 311) = 44
Disparity of Point  29631 =  (343, 311) = 44
Disparity of Point  29635 =  (346, 311) = 44
Disparity of Point  29636 =  (353, 311) = 45
Disparity of Point  29642 =  (381, 311) = 45
Disparity of Point  29643 =  (381, 311) = 45
Disparity of Point  29644 =  (382, 311) = 45
Disparity of Point  29645 =  (382, 311) = 45
Disparity of Point  29646 =  (383, 311) = 45
Disparity of Point  29647 =  (383, 311) = 45
Disparity of Point  29659 =  (488, 311) = 45
Disparity of Point  29664 =  (563, 311) = 45
Disparity of Point  29665 =  (563, 311) = 45
Disparity of Point  29687 =  (756, 311) = 46
Disparity of Point  29699 =  (1006, 311) = 49
Disparity of Point  29700 =  (1006, 311) = 49
Disparity of Point  29707 =  (205, 312) = 45
Disparity of Point  29714 =  (220, 312) = 44
Disparity of Point  29715 =  (220, 312) = 44
Disparity of Point  29716 =  (221, 312) = 44
Disparity of Point  29717 =  (221, 312) = 44
Disparity of Point  29723 =  (273, 312) = 45
Disparity of Point  29724 =  (273, 312) = 45
Disparity of Point  29741 =  (318, 312) = 44
Disparity of Point  29742 =  (318, 312) = 44
Disparity of Point  29751 =  (350, 312) = 45
Disparity of Point  29763 =  (486, 312) = 45
Disparity of Point  29764 =  (487, 312) = 45
Disparity of Point  29778 =  (718, 312) = 45
Disparity of Point  29779 =  (718, 312) = 45
Disparity of Point  29780 =  (718, 312) = 45
Disparity of Point  29789 =  (769, 312) = 46
Disparity of Point  29790 =  (769, 312) = 46
Disparity of Point  29801 =  (842, 312) = 47
Disparity of Point  29802 =  (848, 312) = 47
Disparity of Point  29803 =  (848, 312) = 47
Disparity of Point  29804 =  (850, 312) = 47
Disparity of Point  29805 =  (853, 312) = 47
Disparity of Point  29806 =  (853, 312) = 47
Disparity of Point  29811 =  (872, 312) = 47
Disparity of Point  29812 =  (872, 312) = 47
Disparity of Point  29813 =  (873, 312) = 47
Disparity of Point  29814 =  (873, 312) = 47
Disparity of Point  29823 =  (878, 312) = 47
Disparity of Point  29824 =  (878, 312) = 47
Disparity of Point  29825 =  (879, 312) = 47
Disparity of Point  29826 =  (879, 312) = 47
Disparity of Point  29828 =  (1008, 312) = 49
Disparity of Point  29829 =  (1008, 312) = 49
Disparity of Point  29891 =  (273, 313) = 45
Disparity of Point  29909 =  (368, 313) = 45
Disparity of Point  29910 =  (368, 313) = 45
Disparity of Point  29911 =  (368, 313) = 45
Disparity of Point  29912 =  (369, 313) = 45
Disparity of Point  29913 =  (369, 313) = 45
Disparity of Point  29914 =  (370, 313) = 45
Disparity of Point  29915 =  (370, 313) = 45
Disparity of Point  29916 =  (371, 313) = 45
Disparity of Point  29917 =  (371, 313) = 45
Disparity of Point  29922 =  (396, 313) = 45
Disparity of Point  29923 =  (396, 313) = 45
Disparity of Point  29924 =  (397, 313) = 45
Disparity of Point  29925 =  (397, 313) = 45
Disparity of Point  29926 =  (398, 313) = 45
Disparity of Point  29927 =  (399, 313) = 45
Disparity of Point  29928 =  (399, 313) = 45
Disparity of Point  29942 =  (433, 313) = 45
Disparity of Point  29943 =  (433, 313) = 45
Disparity of Point  29948 =  (442, 313) = 45
Disparity of Point  29951 =  (444, 313) = 45
Disparity of Point  29952 =  (444, 313) = 45
Disparity of Point  29953 =  (445, 313) = 45
Disparity of Point  29954 =  (445, 313) = 45
Disparity of Point  29955 =  (446, 313) = 45
Disparity of Point  29956 =  (446, 313) = 45
Disparity of Point  29959 =  (448, 313) = 45
Disparity of Point  29960 =  (448, 313) = 45
Disparity of Point  29989 =  (710, 313) = 46
Disparity of Point  29994 =  (754, 313) = 46
Disparity of Point  29995 =  (754, 313) = 46
Disparity of Point  29996 =  (755, 313) = 46
Disparity of Point  29997 =  (758, 313) = 47
Disparity of Point  30007 =  (844, 313) = 47
Disparity of Point  30008 =  (844, 313) = 47
Disparity of Point  30009 =  (845, 313) = 47
Disparity of Point  30010 =  (845, 313) = 47
Disparity of Point  30011 =  (846, 313) = 47
Disparity of Point  30012 =  (846, 313) = 47
Disparity of Point  30013 =  (1010, 313) = 49
Disparity of Point  30014 =  (1010, 313) = 49
Disparity of Point  30017 =  (1012, 313) = 49
Disparity of Point  30018 =  (1012, 313) = 49
Disparity of Point  30019 =  (1024, 313) = 50
Disparity of Point  30020 =  (1024, 313) = 50
Disparity of Point  30021 =  (1025, 313) = 50
Disparity of Point  30022 =  (1025, 313) = 50
Disparity of Point  30023 =  (1026, 313) = 50
Disparity of Point  30024 =  (1026, 313) = 50
Disparity of Point  30035 =  (1184, 313) = 52
Disparity of Point  30036 =  (1184, 313) = 52
Disparity of Point  30039 =  (1186, 313) = 52
Disparity of Point  30040 =  (1186, 313) = 52
Disparity of Point  30054 =  (197, 314) = 46
Disparity of Point  30055 =  (197, 314) = 46
Disparity of Point  30062 =  (207, 314) = 45
Disparity of Point  30063 =  (207, 314) = 45
Disparity of Point  30064 =  (208, 314) = 45
Disparity of Point  30065 =  (208, 314) = 45
Disparity of Point  30076 =  (228, 314) = 45
Disparity of Point  30077 =  (228, 314) = 45
Disparity of Point  30084 =  (248, 314) = 45
Disparity of Point  30102 =  (322, 314) = 45
Disparity of Point  30103 =  (339, 314) = 45
Disparity of Point  30104 =  (339, 314) = 45
Disparity of Point  30105 =  (342, 314) = 45
Disparity of Point  30120 =  (488, 314) = 46
Disparity of Point  30121 =  (490, 314) = 46
Disparity of Point  30122 =  (490, 314) = 46
Disparity of Point  30133 =  (552, 314) = 46
Disparity of Point  30151 =  (721, 314) = 46
Disparity of Point  30152 =  (721, 314) = 46
Disparity of Point  30157 =  (736, 314) = 46
Disparity of Point  30158 =  (739, 314) = 46
Disparity of Point  30159 =  (739, 314) = 46
Disparity of Point  30160 =  (740, 314) = 46
Disparity of Point  30161 =  (755, 314) = 47
Disparity of Point  30162 =  (756, 314) = 47
Disparity of Point  30166 =  (796, 314) = 47
Disparity of Point  30167 =  (796, 314) = 47
Disparity of Point  30168 =  (797, 314) = 47
