Disparity of Point  10347 =  (1063, 127) = 28
Disparity of Point  32828 =  (437, 321) = 48
Disparity of Point  32831 =  (441, 321) = 48
Disparity of Point  32832 =  (441, 321) = 48
Disparity of Point  32833 =  (447, 321) = 48
Disparity of Point  32834 =  (447, 321) = 48
Disparity of Point  32843 =  (489, 321) = 48
Disparity of Point  32844 =  (489, 321) = 48
Disparity of Point  32847 =  (511, 321) = 48
Disparity of Point  32848 =  (511, 321) = 48
Disparity of Point  32851 =  (513, 321) = 48
Disparity of Point  32852 =  (513, 321) = 48
Disparity of Point  32866 =  (639, 321) = 48
Disparity of Point  32867 =  (639, 321) = 48
Disparity of Point  32878 =  (763, 321) = 49
Disparity of Point  32881 =  (791, 321) = 49
Disparity of Point  32882 =  (791, 321) = 49
Disparity of Point  32889 =  (910, 321) = 51
Disparity of Point  32890 =  (911, 321) = 51
Disparity of Point  32891 =  (911, 321) = 51
Disparity of Point  32892 =  (912, 321) = 51
Disparity of Point  32893 =  (912, 321) = 51
Disparity of Point  32894 =  (913, 321) = 51
Disparity of Point  32895 =  (914, 321) = 51
Disparity of Point  32896 =  (914, 321) = 51
Disparity of Point  32900 =  (930, 321) = 51
Disparity of Point  32901 =  (930, 321) = 51
Disparity of Point  32902 =  (931, 321) = 51
Disparity of Point  32903 =  (931, 321) = 51
Disparity of Point  32912 =  (171, 322) = 48
Disparity of Point  32913 =  (171, 322) = 48
Disparity of Point  32939 =  (271, 322) = 47
Disparity of Point  32940 =  (273, 322) = 47
Disparity of Point  32953 =  (304, 322) = 48
Disparity of Point  32958 =  (384, 322) = 48
Disparity of Point  32959 =  (384, 322) = 48
Disparity of Point  32968 =  (426, 322) = 48
Disparity of Point  32969 =  (426, 322) = 48
Disparity of Point  32970 =  (426, 322) = 48
Disparity of Point  32982 =  (489, 322) = 48
Disparity of Point  32983 =  (489, 322) = 48
Disparity of Point  32989 =  (498, 322) = 48
Disparity of Point  32990 =  (498, 322) = 48
Disparity of Point  32995 =  (530, 322) = 48
Disparity of Point  32996 =  (530, 322) = 48
Disparity of Point  32997 =  (532, 322) = 48
Disparity of Point  32998 =  (532, 322) = 48
Disparity of Point  33005 =  (546, 322) = 48
Disparity of Point  33006 =  (546, 322) = 48
Disparity of Point  33040 =  (812, 322) = 50
Disparity of Point  33041 =  (812, 322) = 50
Disparity of Point  33042 =  (813, 322) = 50
Disparity of Point  33043 =  (813, 322) = 50
Disparity of Point  33046 =  (815, 322) = 50
Disparity of Point  33047 =  (815, 322) = 50
Disparity of Point  33048 =  (837, 322) = 50
Disparity of Point  33049 =  (837, 322) = 50
Disparity of Point  33053 =  (841, 322) = 50
Disparity of Point  33054 =  (841, 322) = 50
Disparity of Point  33057 =  (843, 322) = 50
Disparity of Point  33058 =  (843, 322) = 50
Disparity of Point  33061 =  (845, 322) = 50
Disparity of Point  33068 =  (910, 322) = 51
Disparity of Point  33069 =  (910, 322) = 51
Disparity of Point  33070 =  (916, 322) = 51
Disparity of Point  33071 =  (916, 322) = 51
Disparity of Point  33072 =  (917, 322) = 51
Disparity of Point  33073 =  (918, 322) = 51
Disparity of Point  33074 =  (934, 322) = 51
Disparity of Point  33075 =  (934, 322) = 51
Disparity of Point  33102 =  (184, 323) = 48
Disparity of Point  33137 =  (424, 323) = 48
Disparity of Point  33138 =  (424, 323) = 48
Disparity of Point  33139 =  (425, 323) = 48
Disparity of Point  33140 =  (425, 323) = 48
Disparity of Point  33148 =  (478, 323) = 48
Disparity of Point  33159 =  (508, 323) = 49
Disparity of Point  33162 =  (530, 323) = 49
Disparity of Point  33172 =  (574, 323) = 49
Disparity of Point  33173 =  (574, 323) = 49
Disparity of Point  33174 =  (575, 323) = 49
Disparity of Point  33175 =  (575, 323) = 49
Disparity of Point  33176 =  (610, 323) = 49
Disparity of Point  33177 =  (610, 323) = 49
Disparity of Point  33178 =  (614, 323) = 49
Disparity of Point  33179 =  (614, 323) = 49
Disparity of Point  33185 =  (682, 323) = 49
Disparity of Point  33186 =  (682, 323) = 49
Disparity of Point  33199 =  (835, 323) = 50
Disparity of Point  33200 =  (835, 323) = 50
Disparity of Point  33202 =  (839, 323) = 50
Disparity of Point  33203 =  (839, 323) = 50
Disparity of Point  33204 =  (892, 323) = 51
Disparity of Point  33205 =  (892, 323) = 51
Disparity of Point  33207 =  (896, 323) = 51
Disparity of Point  33216 =  (944, 323) = 52
Disparity of Point  33217 =  (944, 323) = 52
Disparity of Point  33218 =  (945, 323) = 52
Disparity of Point  33219 =  (945, 323) = 52
Disparity of Point  33222 =  (947, 323) = 52
Disparity of Point  33223 =  (947, 323) = 52
Disparity of Point  33228 =  (950, 323) = 52
Disparity of Point  33229 =  (950, 323) = 52
Disparity of Point  33232 =  (152, 324) = 49
Disparity of Point  33233 =  (152, 324) = 49
Disparity of Point  33234 =  (153, 324) = 49
Disparity of Point  33235 =  (153, 324) = 49
Disparity of Point  33251 =  (188, 324) = 48
Disparity of Point  33252 =  (188, 324) = 48
Disparity of Point  33261 =  (274, 324) = 48
Disparity of Point  33262 =  (274, 324) = 48
Disparity of Point  33263 =  (275, 324) = 48
Disparity of Point  33264 =  (275, 324) = 48
Disparity of Point  33265 =  (276, 324) = 48
Disparity of Point  33266 =  (276, 324) = 48
Disparity of Point  33268 =  (285, 324) = 48
Disparity of Point  33269 =  (285, 324) = 48
Disparity of Point  33279 =  (319, 324) = 48
Disparity of Point  33280 =  (319, 324) = 48
Disparity of Point  33281 =  (322, 324) = 48
Disparity of Point  33282 =  (322, 324) = 48
Disparity of Point  33316 =  (467, 324) = 49
Disparity of Point  33325 =  (544, 324) = 49
Disparity of Point  33326 =  (600, 324) = 49
Disparity of Point  33327 =  (600, 324) = 49
Disparity of Point  33328 =  (615, 324) = 49
Disparity of Point  33329 =  (615, 324) = 49
Disparity of Point  33333 =  (629, 324) = 49
Disparity of Point  33334 =  (629, 324) = 49
Disparity of Point  33337 =  (632, 324) = 49
Disparity of Point  33338 =  (632, 324) = 49
Disparity of Point  33341 =  (652, 324) = 49
Disparity of Point  33342 =  (652, 324) = 49
Disparity of Point  33343 =  (749, 324) = 49
Disparity of Point  33344 =  (762, 324) = 49
Disparity of Point  33347 =  (784, 324) = 50
Disparity of Point  33348 =  (786, 324) = 50
Disparity of Point  33349 =  (786, 324) = 50
Disparity of Point  33365 =  (858, 324) = 51
Disparity of Point  33366 =  (858, 324) = 51
Disparity of Point  33368 =  (860, 324) = 51
Disparity of Point  33369 =  (860, 324) = 51
Disparity of Point  33374 =  (891, 324) = 51
Disparity of Point  33394 =  (156, 325) = 49
Disparity of Point  33427 =  (280, 325) = 49
Disparity of Point  33442 =  (388, 325) = 49
Disparity of Point  33443 =  (388, 325) = 49
Disparity of Point  33444 =  (388, 325) = 49
Disparity of Point  33454 =  (434, 325) = 49
Disparity of Point  33455 =  (434, 325) = 49
Disparity of Point  33473 =  (523, 325) = 49
Disparity of Point  33478 =  (530, 325) = 49
Disparity of Point  33479 =  (531, 325) = 49
Disparity of Point  33480 =  (531, 325) = 49
Disparity of Point  33481 =  (534, 325) = 49
Disparity of Point  33482 =  (534, 325) = 49
Disparity of Point  33483 =  (534, 325) = 49
Disparity of Point  33490 =  (613, 325) = 49
Disparity of Point  33491 =  (613, 325) = 49
Disparity of Point  33493 =  (618, 325) = 49
Disparity of Point  33494 =  (618, 325) = 49
Disparity of Point  33497 =  (634, 325) = 49
Disparity of Point  33498 =  (634, 325) = 49
Disparity of Point  33504 =  (643, 325) = 49
Disparity of Point  33506 =  (653, 325) = 49
Disparity of Point  33513 =  (749, 325) = 49
Disparity of Point  33514 =  (749, 325) = 49
Disparity of Point  33515 =  (750, 325) = 49
Disparity of Point  33521 =  (768, 325) = 50
Disparity of Point  33522 =  (771, 325) = 50
Disparity of Point  33528 =  (792, 325) = 51
Disparity of Point  33529 =  (804, 325) = 51
Disparity of Point  33530 =  (804, 325) = 51
Disparity of Point  33533 =  (810, 325) = 51
Disparity of Point  33536 =  (831, 325) = 51
Disparity of Point  33537 =  (831, 325) = 51
Disparity of Point  33542 =  (887, 325) = 52
Disparity of Point  33543 =  (888, 325) = 52
Disparity of Point  33544 =  (888, 325) = 52
Disparity of Point  33545 =  (889, 325) = 52
Disparity of Point  33546 =  (910, 325) = 52
Disparity of Point  33549 =  (916, 325) = 52
Disparity of Point  33550 =  (916, 325) = 52
Disparity of Point  33565 =  (926, 325) = 52
Disparity of Point  33566 =  (926, 325) = 52
Disparity of Point  33571 =  (941, 325) = 52
Disparity of Point  33572 =  (941, 325) = 52
Disparity of Point  33573 =  (942, 325) = 52
Disparity of Point  33574 =  (942, 325) = 52
Disparity of Point  33575 =  (943, 325) = 52
Disparity of Point  33576 =  (943, 325) = 52
Disparity of Point  33587 =  (955, 325) = 52
Disparity of Point  33588 =  (955, 325) = 52
Disparity of Point  33589 =  (967, 325) = 53
Disparity of Point  33590 =  (967, 325) = 53
Disparity of Point  33605 =  (150, 326) = 50
Disparity of Point  33606 =  (150, 326) = 50
Disparity of Point  33648 =  (293, 326) = 49
Disparity of Point  33649 =  (293, 326) = 49
Disparity of Point  33658 =  (375, 326) = 49
Disparity of Point  33662 =  (387, 326) = 49
Disparity of Point  33663 =  (387, 326) = 49
Disparity of Point  33666 =  (395, 326) = 49
Disparity of Point  33671 =  (424, 326) = 49
Disparity of Point  33672 =  (424, 326) = 49
Disparity of Point  33675 =  (465, 326) = 49
Disparity of Point  33676 =  (465, 326) = 49
Disparity of Point  33677 =  (465, 326) = 49
Disparity of Point  33723 =  (795, 326) = 51
Disparity of Point  33724 =  (795, 326) = 51
Disparity of Point  33725 =  (797, 326) = 51
Disparity of Point  33726 =  (797, 326) = 51
Disparity of Point  33727 =  (810, 326) = 51
Disparity of Point  33728 =  (810, 326) = 51
Disparity of Point  33729 =  (814, 326) = 51
Disparity of Point  33730 =  (814, 326) = 51
Disparity of Point  33733 =  (848, 326) = 51
Disparity of Point  33739 =  (867, 326) = 51
Disparity of Point  33740 =  (867, 326) = 51
Disparity of Point  33741 =  (867, 326) = 51
Disparity of Point  33742 =  (887, 326) = 52
Disparity of Point  33743 =  (887, 326) = 52
Disparity of Point  33744 =  (889, 326) = 52
Disparity of Point  33745 =  (890, 326) = 52
Disparity of Point  33746 =  (890, 326) = 52
Disparity of Point  33749 =  (892, 326) = 52
Disparity of Point  33750 =  (892, 326) = 52
Disparity of Point  33751 =  (893, 326) = 52
Disparity of Point  33752 =  (903, 326) = 52
Disparity of Point  33753 =  (903, 326) = 52
Disparity of Point  33754 =  (907, 326) = 52
Disparity of Point  33760 =  (963, 326) = 53
Disparity of Point  33761 =  (963, 326) = 53
Disparity of Point  33762 =  (964, 326) = 53
Disparity of Point  33776 =  (181, 327) = 49
Disparity of Point  33777 =  (181, 327) = 49
Disparity of Point  33783 =  (195, 327) = 49
Disparity of Point  33784 =  (195, 327) = 49
Disparity of Point  33790 =  (252, 327) = 49
Disparity of Point  33791 =  (252, 327) = 49
Disparity of Point  33792 =  (253, 327) = 49
Disparity of Point  33793 =  (253, 327) = 49
Disparity of Point  33794 =  (254, 327) = 49
Disparity of Point  33795 =  (254, 327) = 49
Disparity of Point  33823 =  (388, 327) = 50
Disparity of Point  33824 =  (388, 327) = 50
Disparity of Point  33825 =  (388, 327) = 50
Disparity of Point  33848 =  (543, 327) = 50
Disparity of Point  33852 =  (621, 327) = 50
Disparity of Point  33853 =  (621, 327) = 50
Disparity of Point  33865 =  (715, 327) = 50
Disparity of Point  33866 =  (715, 327) = 50
Disparity of Point  33867 =  (716, 327) = 50
Disparity of Point  33868 =  (716, 327) = 50
Disparity of Point  33869 =  (752, 327) = 50
Disparity of Point  33880 =  (810, 327) = 51
Disparity of Point  33881 =  (810, 327) = 51
Disparity of Point  33885 =  (829, 327) = 51
Disparity of Point  33886 =  (829, 327) = 51
Disparity of Point  33887 =  (831, 327) = 51
Disparity of Point  33888 =  (831, 327) = 51
Disparity of Point  33901 =  (924, 327) = 53
Disparity of Point  33908 =  (140, 328) = 51
Disparity of Point  33909 =  (141, 328) = 51
Disparity of Point  33961 =  (366, 328) = 50
Disparity of Point  33962 =  (366, 328) = 50
Disparity of Point  33992 =  (460, 328) = 50
Disparity of Point  33993 =  (460, 328) = 50
Disparity of Point  33997 =  (467, 328) = 50
Disparity of Point  33998 =  (467, 328) = 50
Disparity of Point  33999 =  (468, 328) = 50
Disparity of Point  34001 =  (475, 328) = 50
Disparity of Point  34032 =  (756, 328) = 50
Disparity of Point  34033 =  (756, 328) = 50
Disparity of Point  34034 =  (757, 328) = 50
Disparity of Point  34035 =  (757, 328) = 50
Disparity of Point  34036 =  (758, 328) = 50
Disparity of Point  34037 =  (758, 328) = 50
Disparity of Point  34038 =  (759, 328) = 50
Disparity of Point  34039 =  (759, 328) = 50
Disparity of Point  34043 =  (821, 328) = 52
Disparity of Point  34044 =  (821, 328) = 52
Disparity of Point  34045 =  (821, 328) = 52
Disparity of Point  34046 =  (844, 328) = 52
Disparity of Point  34047 =  (844, 328) = 52
Disparity of Point  34048 =  (846, 328) = 52
Disparity of Point  34049 =  (846, 328) = 52
Disparity of Point  34050 =  (858, 328) = 52
Disparity of Point  34051 =  (858, 328) = 52
Disparity of Point  34056 =  (885, 328) = 53
Disparity of Point  34057 =  (885, 328) = 53
Disparity of Point  34058 =  (886, 328) = 53
Disparity of Point  34059 =  (886, 328) = 53
Disparity of Point  34062 =  (891, 328) = 53
Disparity of Point  34063 =  (891, 328) = 53
Disparity of Point  34064 =  (903, 328) = 53
Disparity of Point  34066 =  (912, 328) = 53
Disparity of Point  34067 =  (912, 328) = 53
Disparity of Point  34076 =  (934, 328) = 53
Disparity of Point  34077 =  (934, 328) = 53
Disparity of Point  34078 =  (936, 328) = 53
Disparity of Point  34081 =  (975, 328) = 53
Disparity of Point  34082 =  (975, 328) = 53
Disparity of Point  34089 =  (979, 328) = 54
Disparity of Point  34090 =  (979, 328) = 54
Disparity of Point  34119 =  (176, 329) = 50
Disparity of Point  34120 =  (176, 329) = 50
Disparity of Point  34132 =  (266, 329) = 50
Disparity of Point  34133 =  (266, 329) = 50
Disparity of Point  34149 =  (286, 329) = 50
Disparity of Point  34153 =  (315, 329) = 50
Disparity of Point  34154 =  (315, 329) = 50
Disparity of Point  34157 =  (323, 329) = 50
Disparity of Point  34158 =  (323, 329) = 50
Disparity of Point  34159 =  (324, 329) = 50
Disparity of Point  34160 =  (324, 329) = 50
Disparity of Point  34161 =  (325, 329) = 50
Disparity of Point  34162 =  (325, 329) = 50
Disparity of Point  34163 =  (326, 329) = 50
Disparity of Point  34189 =  (460, 329) = 50
Disparity of Point  34192 =  (463, 329) = 50
Disparity of Point  34223 =  (642, 329) = 51
Disparity of Point  34224 =  (642, 329) = 51
Disparity of Point  34242 =  (844, 329) = 52
Disparity of Point  34243 =  (845, 329) = 52
Disparity of Point  34244 =  (845, 329) = 52
Disparity of Point  34245 =  (845, 329) = 52
Disparity of Point  34246 =  (867, 329) = 52
Disparity of Point  34247 =  (867, 329) = 52
Disparity of Point  34260 =  (878, 329) = 53
Disparity of Point  34261 =  (878, 329) = 53
Disparity of Point  34268 =  (902, 329) = 53
Disparity of Point  34269 =  (919, 329) = 53
Disparity of Point  34270 =  (919, 329) = 53
Disparity of Point  34271 =  (920, 329) = 53
Disparity of Point  34272 =  (920, 329) = 53
Disparity of Point  34273 =  (921, 329) = 53
Disparity of Point  34274 =  (921, 329) = 53
Disparity of Point  34284 =  (936, 329) = 53
Disparity of Point  34285 =  (937, 329) = 53
Disparity of Point  34286 =  (937, 329) = 53
Disparity of Point  34287 =  (939, 329) = 53
Disparity of Point  34288 =  (939, 329) = 53
Disparity of Point  34289 =  (940, 329) = 53
Disparity of Point  34290 =  (940, 329) = 53
Disparity of Point  34293 =  (980, 329) = 54
Disparity of Point  34294 =  (980, 329) = 54
Disparity of Point  34295 =  (981, 329) = 54
Disparity of Point  34296 =  (981, 329) = 54
Disparity of Point  34299 =  (983, 329) = 54
Disparity of Point  34300 =  (983, 329) = 54
Disparity of Point  34322 =  (246, 330) = 50
Disparity of Point  34323 =  (246, 330) = 50
Disparity of Point  34336 =  (287, 330) = 50
Disparity of Point  34341 =  (308, 330) = 50
Disparity of Point  34342 =  (308, 330) = 50
Disparity of Point  34343 =  (317, 330) = 50
Disparity of Point  34344 =  (317, 330) = 50
Disparity of Point  34345 =  (317, 330) = 50
Disparity of Point  34353 =  (322, 330) = 50
Disparity of Point  34354 =  (322, 330) = 50
Disparity of Point  34362 =  (448, 330) = 50
Disparity of Point  34363 =  (448, 330) = 50
Disparity of Point  34364 =  (448, 330) = 50
Disparity of Point  34392 =  (759, 330) = 51
Disparity of Point  34393 =  (761, 330) = 51
Disparity of Point  34407 =  (859, 330) = 53
Disparity of Point  34408 =  (859, 330) = 53
Disparity of Point  34412 =  (874, 330) = 53
Disparity of Point  34413 =  (881, 330) = 53
Disparity of Point  34414 =  (881, 330) = 53
Disparity of Point  34417 =  (918, 330) = 53
Disparity of Point  34418 =  (918, 330) = 53
Disparity of Point  34427 =  (942, 330) = 53
Disparity of Point  34428 =  (942, 330) = 53
Disparity of Point  34431 =  (954, 330) = 54
Disparity of Point  34432 =  (954, 330) = 54
Disparity of Point  34444 =  (1013, 330) = 55
Disparity of Point  34445 =  (1013, 330) = 55
Disparity of Point  34450 =  (1016, 330) = 55
Disparity of Point  34451 =  (1016, 330) = 55
Disparity of Point  34460 =  (150, 331) = 51
Disparity of Point  34468 =  (183, 331) = 51
Disparity of Point  34469 =  (183, 331) = 51
Disparity of Point  34481 =  (289, 331) = 51
Disparity of Point  34514 =  (490, 331) = 51
Disparity of Point  34518 =  (496, 331) = 51
Disparity of Point  34542 =  (694, 331) = 52
Disparity of Point  34543 =  (694, 331) = 52
Disparity of Point  34566 =  (861, 331) = 53
Disparity of Point  34567 =  (861, 331) = 53
Disparity of Point  34575 =  (911, 331) = 54
Disparity of Point  34576 =  (911, 331) = 54
Disparity of Point  34579 =  (922, 331) = 54
Disparity of Point  34580 =  (927, 331) = 54
Disparity of Point  34581 =  (928, 331) = 54
Disparity of Point  34582 =  (928, 331) = 54
Disparity of Point  34583 =  (931, 331) = 54
Disparity of Point  34584 =  (931, 331) = 54
Disparity of Point  34585 =  (932, 331) = 54
Disparity of Point  34592 =  (978, 331) = 54
Disparity of Point  34593 =  (978, 331) = 54
Disparity of Point  34609 =  (158, 332) = 51
Disparity of Point  34610 =  (158, 332) = 51
Disparity of Point  34611 =  (159, 332) = 51
Disparity of Point  34612 =  (159, 332) = 51
Disparity of Point  34618 =  (181, 332) = 51
Disparity of Point  34619 =  (181, 332) = 51
Disparity of Point  34677 =  (378, 332) = 51
Disparity of Point  34678 =  (378, 332) = 51
Disparity of Point  34686 =  (461, 332) = 51
Disparity of Point  34695 =  (489, 332) = 51
Disparity of Point  34713 =  (655, 332) = 52
Disparity of Point  34714 =  (655, 332) = 52
Disparity of Point  34715 =  (656, 332) = 52
Disparity of Point  34717 =  (695, 332) = 52
Disparity of Point  34718 =  (695, 332) = 52
Disparity of Point  34719 =  (695, 332) = 52
Disparity of Point  34725 =  (758, 332) = 52
Disparity of Point  34726 =  (775, 332) = 52
Disparity of Point  34727 =  (775, 332) = 52
Disparity of Point  34752 =  (861, 332) = 53
Disparity of Point  34753 =  (862, 332) = 53
Disparity of Point  34754 =  (864, 332) = 53
Disparity of Point  34760 =  (891, 332) = 54
Disparity of Point  34761 =  (891, 332) = 54
Disparity of Point  34766 =  (895, 332) = 54
Disparity of Point  34767 =  (895, 332) = 54
Disparity of Point  34769 =  (900, 332) = 54
Disparity of Point  34770 =  (900, 332) = 54
Disparity of Point  34771 =  (907, 332) = 54
Disparity of Point  34772 =  (909, 332) = 54
Disparity of Point  34773 =  (909, 332) = 54
Disparity of Point  34777 =  (915, 332) = 54
Disparity of Point  34778 =  (915, 332) = 54
Disparity of Point  34779 =  (920, 332) = 54
Disparity of Point  34780 =  (920, 332) = 54
Disparity of Point  34781 =  (924, 332) = 54
Disparity of Point  34782 =  (924, 332) = 54
Disparity of Point  34783 =  (925, 332) = 54
Disparity of Point  34784 =  (925, 332) = 54
Disparity of Point  34785 =  (925, 332) = 54
Disparity of Point  34791 =  (981, 332) = 55
Disparity of Point  34792 =  (981, 332) = 55
Disparity of Point  34793 =  (983, 332) = 55
Disparity of Point  34794 =  (983, 332) = 55
Disparity of Point  34832 =  (157, 333) = 52
Disparity of Point  34833 =  (157, 333) = 52
Disparity of Point  34837 =  (178, 333) = 51
Disparity of Point  34838 =  (178, 333) = 51
Disparity of Point  34843 =  (205, 333) = 51
Disparity of Point  34860 =  (260, 333) = 51
Disparity of Point  34861 =  (260, 333) = 51
Disparity of Point  34873 =  (290, 333) = 51
Disparity of Point  34874 =  (290, 333) = 51
Disparity of Point  34879 =  (303, 333) = 51
Disparity of Point  34903 =  (419, 333) = 51
Disparity of Point  34935 =  (539, 333) = 52
Disparity of Point  34936 =  (539, 333) = 52
Disparity of Point  34938 =  (545, 333) = 52
Disparity of Point  34939 =  (545, 333) = 52
Disparity of Point  34946 =  (642, 333) = 52
Disparity of Point  34947 =  (642, 333) = 52
Disparity of Point  34948 =  (657, 333) = 52
Disparity of Point  34956 =  (758, 333) = 52
Disparity of Point  34959 =  (773, 333) = 52
Disparity of Point  34987 =  (909, 333) = 54
Disparity of Point  34990 =  (912, 333) = 54
Disparity of Point  34991 =  (912, 333) = 54
Disparity of Point  34992 =  (921, 333) = 54
Disparity of Point  34993 =  (923, 333) = 54
Disparity of Point  34994 =  (923, 333) = 54
Disparity of Point  34999 =  (1007, 333) = 56
Disparity of Point  35000 =  (1007, 333) = 56
Disparity of Point  35001 =  (1008, 333) = 56
Disparity of Point  35002 =  (1008, 333) = 56
Disparity of Point  35003 =  (1009, 333) = 56
Disparity of Point  35004 =  (1009, 333) = 56
Disparity of Point  35009 =  (1012, 333) = 56
Disparity of Point  35010 =  (1012, 333) = 56
Disparity of Point  35021 =  (140, 334) = 52
Disparity of Point  35024 =  (153, 334) = 52
Disparity of Point  35025 =  (153, 334) = 52
Disparity of Point  35026 =  (154, 334) = 52
Disparity of Point  35056 =  (255, 334) = 51
Disparity of Point  35057 =  (255, 334) = 51
Disparity of Point  35103 =  (399, 334) = 52
Disparity of Point  35108 =  (409, 334) = 52
Disparity of Point  35109 =  (409, 334) = 52
Disparity of Point  35129 =  (479, 334) = 52
Disparity of Point  35133 =  (493, 334) = 52
Disparity of Point  35134 =  (499, 334) = 52
Disparity of Point  35135 =  (499, 334) = 52
Disparity of Point  35140 =  (557, 334) = 52
Disparity of Point  35141 =  (630, 334) = 52
Disparity of Point  35142 =  (630, 334) = 52
Disparity of Point  35143 =  (635, 334) = 52
Disparity of Point  35144 =  (635, 334) = 52
Disparity of Point  35145 =  (657, 334) = 52
Disparity of Point  35146 =  (657, 334) = 52
Disparity of Point  35148 =  (669, 334) = 52
Disparity of Point  35149 =  (670, 334) = 52
Disparity of Point  35150 =  (670, 334) = 52
Disparity of Point  35151 =  (671, 334) = 52
Disparity of Point  35152 =  (671, 334) = 52
Disparity of Point  35181 =  (844, 334) = 54
Disparity of Point  35182 =  (844, 334) = 54
Disparity of Point  35189 =  (867, 334) = 54
Disparity of Point  35197 =  (921, 334) = 54
Disparity of Point  35201 =  (1015, 334) = 56
Disparity of Point  35202 =  (1015, 334) = 56
Disparity of Point  35203 =  (1016, 334) = 56
Disparity of Point  35204 =  (1016, 334) = 56
Disparity of Point  35205 =  (1017, 334) = 56
Disparity of Point  35206 =  (1017, 334) = 56
Disparity of Point  35211 =  (126, 335) = 53
Disparity of Point  35212 =  (126, 335) = 53
Disparity of Point  35219 =  (149, 335) = 52
Disparity of Point  35220 =  (149, 335) = 52
Disparity of Point  35229 =  (182, 335) = 52
Disparity of Point  35287 =  (383, 335) = 52
Disparity of Point  35288 =  (383, 335) = 52
Disparity of Point  35299 =  (444, 335) = 52
Disparity of Point  35300 =  (444, 335) = 52
Disparity of Point  35330 =  (696, 335) = 53
Disparity of Point  35331 =  (696, 335) = 53
Disparity of Point  35340 =  (737, 335) = 53
Disparity of Point  35348 =  (812, 335) = 54
Disparity of Point  35349 =  (812, 335) = 54
Disparity of Point  35351 =  (815, 335) = 54
Disparity of Point  35352 =  (815, 335) = 54
Disparity of Point  35354 =  (829, 335) = 54
Disparity of Point  35357 =  (831, 335) = 54
Disparity of Point  35358 =  (831, 335) = 54
Disparity of Point  35361 =  (871, 335) = 54
Disparity of Point  35368 =  (906, 335) = 55
Disparity of Point  35369 =  (906, 335) = 55
Disparity of Point  35387 =  (995, 335) = 56
Disparity of Point  35388 =  (997, 335) = 56
Disparity of Point  35389 =  (998, 335) = 56
Disparity of Point  35390 =  (998, 335) = 56
Disparity of Point  35393 =  (1020, 335) = 56
Disparity of Point  35394 =  (1020, 335) = 56
Disparity of Point  35409 =  (1041, 335) = 57
Disparity of Point  35410 =  (1041, 335) = 57
Disparity of Point  35420 =  (147, 336) = 53
Disparity of Point  35421 =  (147, 336) = 53
Disparity of Point  35422 =  (148, 336) = 53
Disparity of Point  35423 =  (148, 336) = 53
Disparity of Point  35438 =  (209, 336) = 52
Disparity of Point  35439 =  (209, 336) = 52
Disparity of Point  35440 =  (209, 336) = 52
Disparity of Point  35445 =  (254, 336) = 52
Disparity of Point  35446 =  (254, 336) = 52
Disparity of Point  35447 =  (254, 336) = 52
Disparity of Point  35463 =  (288, 336) = 52
Disparity of Point  35464 =  (288, 336) = 52
Disparity of Point  35471 =  (330, 336) = 52
Disparity of Point  35472 =  (330, 336) = 52
Disparity of Point  35473 =  (332, 336) = 52
Disparity of Point  35480 =  (382, 336) = 52
Disparity of Point  35483 =  (389, 336) = 52
Disparity of Point  35484 =  (389, 336) = 52
Disparity of Point  35496 =  (469, 336) = 53
Disparity of Point  35515 =  (664, 336) = 53
Disparity of Point  35516 =  (664, 336) = 53
Disparity of Point  35517 =  (666, 336) = 53
Disparity of Point  35523 =  (701, 336) = 53
Disparity of Point  35524 =  (701, 336) = 53
Disparity of Point  35525 =  (701, 336) = 53
Disparity of Point  35528 =  (758, 336) = 53
Disparity of Point  35529 =  (758, 336) = 53
Disparity of Point  35549 =  (908, 336) = 55
Disparity of Point  35550 =  (908, 336) = 55
Disparity of Point  35551 =  (908, 336) = 55
Disparity of Point  35552 =  (915, 336) = 55
Disparity of Point  35553 =  (915, 336) = 55
Disparity of Point  35559 =  (995, 336) = 56
Disparity of Point  35560 =  (995, 336) = 56
Disparity of Point  35563 =  (1024, 336) = 57
Disparity of Point  35564 =  (1024, 336) = 57
Disparity of Point  35574 =  (129, 337) = 53
Disparity of Point  35575 =  (129, 337) = 53
Disparity of Point  35585 =  (154, 337) = 52
Disparity of Point  35586 =  (154, 337) = 52
Disparity of Point  35587 =  (168, 337) = 52
Disparity of Point  35588 =  (168, 337) = 52
Disparity of Point  35589 =  (169, 337) = 52
Disparity of Point  35590 =  (169, 337) = 52
Disparity of Point  35622 =  (272, 337) = 52
Disparity of Point  35665 =  (472, 337) = 53
Disparity of Point  35666 =  (472, 337) = 53
Disparity of Point  35693 =  (699, 337) = 53
Disparity of Point  35694 =  (699, 337) = 53
Disparity of Point  35695 =  (699, 337) = 53
Disparity of Point  35735 =  (860, 337) = 55
Disparity of Point  35738 =  (862, 337) = 55
Disparity of Point  35740 =  (865, 337) = 55
Disparity of Point  35741 =  (865, 337) = 55
Disparity of Point  35742 =  (867, 337) = 55
Disparity of Point  35743 =  (867, 337) = 55
Disparity of Point  35755 =  (1026, 337) = 57
Disparity of Point  35756 =  (1026, 337) = 57
Disparity of Point  35757 =  (1027, 337) = 57
Disparity of Point  35758 =  (1027, 337) = 57
Disparity of Point  35761 =  (1029, 337) = 57
Disparity of Point  35762 =  (1029, 337) = 57
